FIPS,State,County,PCT_DIABETES_ADULTS15,PCT_OBESE_ADULTS13,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_SNAP15,GROCPTH15,FFRPTH15
51017,VA,Bath,10.9,28.7,22.24413621,9.215489355,1.111277874,0.219154065,0.219154065
55078,WI,Menominee,13.9,42.5,21.93560236,10.83295111,5.20203406,0,0.221141088
29025,MO,Caldwell,13.2,37.2,18.66625662,8.062940798,2.890111891,0.553464689,0.221385876
51175,VA,Southampton,12.6,31.1,22.45941175,13.79683053,2.706409328,0.166122155,0.221496207
21189,KY,Owsley,13.1,33.6,0.701890759,0.501065487,0.378715862,0,0.221827862
01007,AL,Bibb,14.8,40.3,4.230324421,2.601627008,0.676710323,0.222162979,0.222162979
05065,AR,Izard,15.5,33.9,1.10121971,0.546053961,0.163068871,0.296603886,0.222452914
04001,AZ,Apache,14.4,35.2,70.53722718,47.39151395,20.10629855,0.125299326,0.222754358
13159,GA,Jasper,12.6,29.3,22.77265949,10.26098445,4.749591593,0.22334723,0.22334723
35019,NM,Guadalupe,8.4,27.3,38.23432562,16.41825716,6.50844105,0,0.223813787
51159,VA,Richmond,11.6,29.9,5.112629326,1.991068118,0.720892527,0.224668614,0.224668614
13231,GA,Pike,11.7,26.2,0.028419648,0.007086627,0.003692382,0.112460639,0.224921278
13315,GA,Wilcox,11.4,31.5,0.786683208,0.436375241,0.218532185,0,0.226065333
38085,ND,Sioux,13.3,33.7,40.96313792,26.24688727,15.93263334,0.226142017,0.226142017
12067,FL,Lafayette,13.2,35.3,6.359608953,3.15878803,1.362141842,0.113186191,0.226372383
38025,ND,Dunn,9.2,33.5,53.00695242,12.91364521,2.394906985,0.227324392,0.227324392
55011,WI,Buffalo,10.2,32,23.37743677,6.604819278,2.068203467,0.227479527,0.227479527
27029,MN,Clearwater,10,31,37.92275999,15.29365604,3.935795919,0.341258105,0.227505403
21223,KY,Trimble,12.8,34,5.848666724,2.358276502,0.721096374,0,0.227634874
51193,VA,Westmoreland,13.5,30.7,5.8036023,2.059014928,0.857009094,0.28609029,0.228872232
08027,CO,Custer,6.8,20.5,25.88572118,6.599008939,2.492607525,0.45861041,0.229305205
29003,MO,Andrew,9.9,29.3,10.58417799,2.784362164,0.654459817,0.17262213,0.23016284
54075,WV,Pocahontas,13.8,31.4,45.05750991,17.56659308,5.139985867,0.577233895,0.230893558
54043,WV,Lincoln,15.7,39.9,0.044457912,0.01776146,0.007246326,0.278280228,0.23190019
54021,WV,Gilmer,11.8,39,5.585501381,2.908184584,1.490915193,0.116036203,0.232072407
54059,WV,Mingo,13.2,40.3,5.176927295,2.389502225,1.272768899,0.194431482,0.233317779
19011,IA,Benton,10,34.4,13.67411113,2.955001552,0.658584785,0.11682243,0.23364486
30061,MT,Mineral,10.8,27.7,46.66319938,21.61827395,7.945568013,0.704721635,0.234907212
12119,FL,Sumter,14.9,26.9,12.54735766,4.284025856,1.323677937,0.113686052,0.236117184
47181,TN,Wayne,12.3,32.7,22.23289682,9.140044287,1.943091002,0.29563058,0.236504464
28005,MS,Amite,17.6,42.3,17.84083189,8.934960812,3.295202628,0.079182833,0.237548499
13267,GA,Tattnall,10.2,33.1,3.912004736,1.489577405,1.080359742,0.158579131,0.237868696
51143,VA,Pittsylvania,14.3,32,15.66472433,5.835494925,2.309283531,0.080150041,0.240450123
28061,MS,Jasper,16.8,37.9,11.71757287,6.134804614,3.15636536,0.180712005,0.24094934
40045,OK,Ellis,13,31,99.54597274,38.20168711,6.536280156,0.963855422,0.240963855
38045,ND,LaMoure,11.2,33.4,37.20284065,9.019719954,2.009184322,0.964087732,0.241021933
46125,SD,Turner,8.4,32.9,2.287664721,0.530292126,0.205447286,0.483558994,0.241779497
19075,IA,Grundy,11,31.7,11.11263618,2.461382988,0.723460517,0.404040404,0.242424242
13169,GA,Jones,12.4,33.5,7.434348473,3.555367931,2.016849642,0.069475805,0.243165318
13145,GA,Harris,13.2,28.4,0.6184571,0.175877751,0.05813918,0.152086629,0.243338606
20081,KS,Haskell,9.8,33.9,100,37.61722506,3.729767782,0.48709206,0.24354603
19105,IA,Jones,10.2,37.6,16.11997926,5.342236711,1.825966107,0.195560771,0.244450963
48507,TX,Zavala,8.7,27.4,31.70358023,20.18801305,11.3959974,0.081519524,0.244558572
51133,VA,Northumberland,14.8,26.3,9.327356231,0.957329911,0.579529338,0.326503959,0.244877969
28111,MS,Perry,11.8,37.2,9.167377754,3.981765345,2.291329101,0.245358633,0.245358633
51037,VA,Charlotte,12,33.5,33.69408237,15.03023096,5.994724254,0.081799591,0.245398773
28023,MS,Clarke,14.9,34.8,13.93902093,5.627351029,3.33102914,0.245413829,0.245413829
16067,ID,Minidoka,10.8,34.2,17.60423291,7.998317269,1.471769105,0.0492053,0.246026669
47081,TN,Hickman,12.2,32.1,11.24321027,5.144942738,1.43427441,0.082020997,0.246062992
27153,MN,Todd,8.1,30.4,33.4370922,12.66076197,2.94991713,0.288493241,0.247279921
27125,MN,Red Lake,8.7,32.8,99.19236257,30.57128916,10.75569418,0.74202325,0.247341083
