School Name,Location,Closest Store,Store Address,Driving Distance (miles),Bus Distance (miles),Walking Distance (miles),Percent in Poverty,Zip Code,Poverty Groups
Jill Stone Elementary School at Vickery Meadow,Dallas,Walmart Supercenter,"6185 Retail Rd, Dallas, TX 75231",0.7,0.8,0.7,99.45,75231,90-100
J.N. Ervin Elementary School,Dallas,Save You More,"3540 Simpson Stuart Rd, Dallas, TX 75241",0.9,0.9,0.8,96.61,75241,90-100
Tom W Field Elementary School,Dallas,Tom Thumb,"3757 Forest Ln, Dallas, TX 75244",6.1,11.8,4.0,96.11,75229,90-100
Stephen C. Foster Elementary School,Dallas,Target Grocery,"9440 Marsh Ln, Dallas, TX 75220",0.9,0.7,0.7,89.97,75220,90-100
Charles A. Gill Elementary School,Dallas,Super Mercado El Cerrito,"10880 Ferguson Rd, Dallas, TX 75228",0.3,0.4,0.2,89.57,75228,90-100
Tom C Gooch Elementary School,Dallas,Walmart Supercenter,"4122 Lyndon B Johnson Fwy, Dallas, TX 75244",0.7,0.7,0.7,90.41,75244,90-100
Lenore Kirk Hall Elementary School,Dallas,Fiesta Mart,"3434 W Illinois Ave, Dallas, TX 75211",0.5,0.5,0.5,92.88,75211,90-100
Margaret B. Henderson Elementary School,Dallas,Kroger,"752 Wynnewood Village Shopping Center, Dallas, TX 75224",0.8,0.7,0.7,91.88,75224,90-100
Victor H Hexter Elementary School,Dallas,Kroger,"10677 E NW Hwy, Dallas, TX 75238",2.1,1.5,1.5,62.41,75218,60-69
Larry G Smith Elementary School,Dallas,El Rancho Supermercado,"2550 Gus Thomasson Rd, Dallas, TX 75228",1.0,0.9,0.9,92.33,75150,90-100
C.A. Tatum Jr. Elementary School,Dallas,Aldi,"2926 S Buckner Blvd, Dallas, TX 75227",1.7,1.7,1.6,97.6,75227,90-100
Nathaniel Hawthorne Elementary School,Dallas,El Rancho Supermercado,"1515 S Buckner Blvd, Dallas, TX 75217",0.7,0.7,0.6,97.17,75217,90-100
James S Hogg Elementary School,Dallas,Fiesta Mart,"611 W Jefferson Blvd, Dallas, TX 75208",1.3,1.4,1.3,93.38,75208,90-100
Lida Hooe Elementary School,Dallas,Tom Thumb,"315 S Hampton Rd, Dallas, TX 75208",0.2,0.2,0.2,89.91,75211,90-100
L L Hotchkiss Elementary School,Dallas,Fiesta Mart,"6401 Abrams Rd, Dallas, TX 75231",0.7,0.7,0.7,99.32,75231,90-100
Sam Houston Elementary School,Dallas,Kroger,"4901 Maple Ave, Dallas, TX 75235",1.4,1.9,1.3,86.76,75219,80-89
John Ireland Elementary School,Dallas,El Rancho Supermercado,"1515 S Buckner Blvd, Dallas, TX 75217",1.2,1.7,1.2,98.08,75217,90-100
Cedar Crest Elementary School,Dallas,Save A Lot,"2611 S Lancaster Rd, Dallas, TX 75216",2.2,2.5,1.8,91.42,75203,90-100
Anson Jones Elementary School,Dallas,El Rancho Supermercado,"4450 W Jefferson Blvd, Dallas, TX 75211",0.8,1.3,0.8,95.87,75211,90-100
